ID,Dataset,Video with mistake ID,Step ID,Correct Procedure,Procedure with mistake,Error Validity,Text Plausibility,Confusability / Difficulty to Notice,Procedure Logic,Procedure Logic (Annotator Confidence),Sequence Consistency Score,State-Change Coherence,Taxonomy Fit (Error Type),Video Plausibility,Text–Video Grounding Consistency (episode-level),m,n_yes,n_no,agree_pairs,total_pairs
EgoPER-Coffee coffee_u1_a5_error_025 0 coffee_u1_a5_error_025,EgoPER-Coffee,coffee_u1_a5_error_025,0.0,coffee_u1_a1_normal_001,coffee_u1_a5_error_025,,,,,,,,,,3.8,0.0,0.0,0.0,0.0,0.0
"EgoPER-Coffee coffee_u1_a5_error_025 2 ""Tear paper filter"",",EgoPER-Coffee,coffee_u1_a5_error_025,2.0,"""Put dripper on mug"",","""Tear paper filter"",",1.0,2.0,1.0,0.0,3.0,5.0,0.0,S (100%),1.0,,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a5_error_025 3 ""Discard paper filter and take a new one"",",EgoPER-Coffee,coffee_u1_a5_error_025,3.0,"""Fold paper filter in half to create semi-circle"",","""Discard paper filter and take a new one"",",1.0,4.8,1.0,0.0,3.0,5.0,0.0,C (100%),5.0,,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a5_error_025 7 ""Spill out coffee beans"",",EgoPER-Coffee,coffee_u1_a5_error_025,7.0,"""Put coffee beans in coffee grinder"",","""Spill out coffee beans"",",1.0,3.4,1.8,0.0,3.0,5.0,0.0,S (100%),3.0,,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a5_error_025 15 ""Discard paper filter and coffee grounds""",EgoPER-Coffee,coffee_u1_a5_error_025,15.0,,"""Discard paper filter and coffee grounds""",1.0,1.0,1.2,1.0,3.0,4.0,1.0,D (100%),1.0,,5.0,0.0,5.0,10.0,10.0
EgoPER-Coffee coffee_u1_a1_error_014 0 coffee_u1_a1_error_014,EgoPER-Coffee,coffee_u1_a1_error_014,0.0,coffee_u1_a1_normal_001,coffee_u1_a1_error_014,,,,,,,,,,2.8,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a1_error_014 13 ""Discard paper filter and coffee grounds""",EgoPER-Coffee,coffee_u1_a1_error_014,13.0,"""Discard paper filter and coffee grounds"",","""Discard paper filter and coffee grounds""",1.0,1.6,1.2,0.8,2.8,4.4,0.8,D (100%),1.0,,0.0,0.0,0.0,0.0,0.0
EgoPER-Coffee coffee_u1_a2_error_021 0 coffee_u1_a2_error_021,EgoPER-Coffee,coffee_u1_a2_error_021,0.0,coffee_u1_a1_normal_001,coffee_u1_a2_error_021,,,,,,,,,,4.4,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a2_error_021 12 ""Pour too much water to overflow mug"",",EgoPER-Coffee,coffee_u1_a2_error_021,12.0,"""Slowly pour the rest of water in circular motion"",","""Pour too much water to overflow mug"",",1.0,2.4,1.6,0.0,2.2,4.8,0.0,"WE (80%), S (20%)",3.6,,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a2_error_021 13 ""Discard paper filter and coffee grounds""",EgoPER-Coffee,coffee_u1_a2_error_021,13.0,"""Discard paper filter and coffee grounds"",","""Discard paper filter and coffee grounds""",1.0,1.6,1.0,0.0,2.8,4.8,0.0,D (100%),1.8,,5.0,0.0,5.0,10.0,10.0
