take_uid,scenario,take_name,status,error,schema_ok,schema_msg,n_input_steps,n_final_steps,n_meta,n_del,mods_u,mods_e,mods_m,mods_c,mods_i,u_not_verbatim,e_no_change,deleted_src_still_used
0872b2cd-933d-4a0d-8561-9b3d60361203,Install a Wheel,fair_bike_02_4,ok,,0,meta[4].mod invalid: we,10,10,10,0,9,0,0,0,0,0,0,0
0b05324a-47a2-456a-9f7a-1c36519d86e0,Cooking Noodles,fair_cooking_05_6,ok,,0,meta[52].mod invalid: we,58,58,58,0,57,0,0,0,0,11,0,0
0b771d9f-7bab-4023-ac08-e56c06505946,Cooking Tomato & Eggs,iiith_cooking_147_2,ok,,1,ok,47,47,47,1,46,0,0,0,1,5,0,1
154d1224-d0c0-45f9-8e89-33f1ffa04606,Cooking Noodles,fair_cooking_06_2,ok,,0,meta[38].mod invalid: s,41,41,41,0,40,0,0,0,0,2,0,0
17755616-d1eb-4727-8237-a4e496642276,Clean and Lubricate the Chain,georgiatech_bike_18_4,ok,,0,meta[9].mod invalid: we,11,11,11,0,10,0,0,0,0,2,0,0
19912997-45b4-4c43-8209-7599079d8eed,Cooking Scrambled Eggs,sfu_cooking015_4,ok,,1,ok,18,18,18,1,18,0,0,0,0,0,0,1
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,Cooking Tomato & Eggs,indiana_cooking_10_4,ok,,0,meta[126].mod invalid: we,129,130,130,0,128,0,0,1,0,50,0,0
281b1c72-71be-4745-9a21-3a24a02e3c6f,Cooking an Omelet,iiith_cooking_79_2,ok,,0,meta[10].mod invalid: we,15,15,15,0,14,0,0,0,0,0,0,0
35bfade9-8ead-46a4-b2f0-cdcfb86df1d6,Cooking an Omelet,iiith_cooking_32_1,ok,,0,meta[14].mod invalid: s,46,47,47,0,45,0,0,1,0,0,0,0
39feb026-bcf8-4a61-89ad-9f5566c2c7bf,Making Cucumber & Tomato Salad,sfu_cooking_005_2,ok,,0,meta[25].mod invalid: we,37,38,38,0,36,0,0,0,1,0,0,0
3c744ca5-c64a-4de3-8235-c2f542ac5056,Making Cucumber & Tomato Salad,sfu_cooking022_2,ok,,0,meta[10].mod invalid: s,12,12,12,0,11,0,0,0,0,2,0,0
3c7e6b2f-75c5-46d6-b0c0-880429a93e10,Cooking an Omelet,sfu_cooking029_8,ok,,0,meta[16].mod invalid: s,19,19,19,0,18,0,0,0,0,0,0,0
3cbd7070-7c55-4b15-ac31-100ab8c7298a,Cooking Noodles,fair_cooking_05_2,ok,,0,meta[21].mod invalid: we,46,46,46,0,45,0,0,0,0,36,0,0
407f60e4-68b2-42df-84a9-3160398aaf10,Making Sesame-Ginger Asian Salad,fair_cooking_08_8,ok,,0,meta[24].mod invalid: we,28,28,28,0,27,0,0,0,0,0,0,0
52b94833-ab64-4cfd-86fd-77ece1ece3ea,Fix a Flat Tire - Replace a Bike Tube,fair_bike_06_11,ok,,0,meta[7].mod invalid: we,13,14,14,0,12,0,0,1,0,10,0,0
57efe7a9-0685-40b8-b076-51e59542c5d9,Making Coffee latte,uniandes_cooking_006_8,ok,,0,meta[16].mod invalid: we,29,30,30,0,28,0,0,1,0,0,0,0
629a4ed5-9d3f-4a61-b699-99e77a03b449,Making Sesame-Ginger Asian Salad,fair_cooking_08_10,ok,,0,meta[19].mod invalid: s,21,21,21,0,20,0,0,0,0,0,0,0
6ba1dc31-7a08-4e92-aaad-5954bce6a7da,Remove a Wheel,cmu_bike16_2,ok,,0,meta[2].mod invalid: we,3,4,4,0,3,0,0,0,0,0,0,0
6e0bfa70-e88e-487d-9698-d16afbdb3e56,First Aid - CPR,nus_cpr_15_1,ok,,0,meta[5].mod invalid: we,8,8,8,0,7,0,0,0,0,0,0,0
6ea11962-0de6-49bd-b133-91be5b46f810,Covid-19 Rapid Antigen Test,sfu_covid_002_10,ok,,0,meta[18].mod invalid: we,26,26,26,0,24,0,0,0,0,0,0,0
