predicate,count
UNTIL,10
WHILE,8
ALLOW,8
CHECK,7
UNWRAP,6
FLOW,5
BOIL,5
INTEGRATED,4
ADJUST,4
REGULATE,4
COOK,4
SPREAD,4
DETECT,3
BACKPEDAL,3
FORM,3
MIX,3
REMOVE,2
SEATED,2
APPLY,2
INTEGRATE,2
STEEP,2
TURN_OFF,2
ROTATE,2
FIND,1
SLACKEN,1
ACTIVE,1
NOT,1
STUCK,1
PLACE,1
DRY_OFF,1
GET_HELP,1
CONFIRM,1
BREATHING,1
CLAMP_TOGETHER,1
CHECK_FOR,1
OK,1
PERFORM,1
SET,1
WHACK,1
OPEN,1
HEAT,1
PRESS,1
EMPTY,1
PIERCE,1
SLICE_THROUGH,1
STIR,1
COOKED,1
COMBINE,1
BREW,1
DISPOSE,1
