role,predicate,count
Temporal,UNTIL,10
Temporal,WHILE,8
Purpose,CHECK,7
Purpose,ALLOW,6
Temporal,INTEGRATED,4
Purpose,ADJUST,4
Purpose,REGULATE,4
Purpose,FLOW,4
Purpose,DETECT,3
Purpose,FORM,3
Purpose,COOK,3
Purpose,SPREAD,3
Temporal,BOIL,3
Purpose,MIX,3
Purpose,REMOVE,2
Purpose,SEATED,2
Temporal,APPLY,2
Temporal,BACKPEDAL,2
Temporal,INTEGRATE,2
Purpose,STEEP,2
Purpose,BOIL,2
Purpose,TURN_OFF,2
Purpose,FIND,1
Purpose,SLACKEN,1
Purpose,ACTIVE,1
Purpose,NOT,1
Purpose,STUCK,1
Purpose,DRY_OFF,1
Instrument,BACKPEDAL,1
Purpose,GET_HELP,1
Purpose,CONFIRM,1
Proposition,BREATHING,1
Purpose,CLAMP_TOGETHER,1
Purpose,CHECK_FOR,1
Content,OK,1
Purpose,PERFORM,1
Temporal,SET,1
Purpose,HEAT,1
Manner,PRESS,1
Purpose,PIERCE,1
Purpose,SLICE_THROUGH,1
Purpose,STIR,1
Temporal,COOKED,1
Temporal,COOK,1
Purpose,COMBINE,1
Temporal,BREW,1
Purpose,DISPOSE,1
